web_scraper_order,web_scraper_start_url,review,timestamp
"1780167137-1","https://www.lazada.co.id/products/hp-i-p-17-pro-max-hdc-android11-garansi-bisa-behasa-indonesia-69inch-i18830690673-s116259873785.html?from_gmc=1&fl_tag=1&exlaz=d_1:mm_150050280_51200736_2010300754::12:23435221350!190039233503!!!pla-2296299443698!c!2296299443698!116259873785!5523529474!791636121015&gad_source=1&gad_campaignid=23435221350&gbraid=0AAAAADsexI2Bglb7ckxxtLgC3wQx9EnSH&gclid=Cj0KCQjwlerQBhDMARIsAB16H-UXLAYOCNtn446R12OMswDH-dR8N-lVoCBKlrGBaDG-acXGku0aaIsaAhcBEALw_wcB","mantap bos ku 
syaa mau pesan lagi harga bisa kurang bos","2026-04-14"
"1780167137-2","https://www.lazada.co.id/products/hp-i-p-17-pro-max-hdc-android11-garansi-bisa-behasa-indonesia-69inch-i18830690673-s116259873785.html?from_gmc=1&fl_tag=1&exlaz=d_1:mm_150050280_51200736_2010300754::12:23435221350!190039233503!!!pla-2296299443698!c!2296299443698!116259873785!5523529474!791636121015&gad_source=1&gad_campaignid=23435221350&gbraid=0AAAAADsexI2Bglb7ckxxtLgC3wQx9EnSH&gclid=Cj0KCQjwlerQBhDMARIsAB16H-UXLAYOCNtn446R12OMswDH-dR8N-lVoCBKlrGBaDG-acXGku0aaIsaAhcBEALw_wcB","𝑖𝑃ℎ𝑜𝑛𝑒 𝑝𝑎𝑙𝑠𝑢 𝑝𝑎𝑙𝑒 𝑘𝑖𝑟𝑎 𝑎𝑠𝑙𝑖
𝑜𝑟𝑎𝑛𝑔 𝑑𝑖 𝑘𝑜𝑛𝑡𝑒𝑟 𝑏𝑙𝑎𝑛𝑔 𝑏𝑢𝑘𝑎𝑛 𝑖𝑃ℎ𝑜𝑛𝑒 𝑎𝑠𝑙𝑖
 𝑝𝑎𝑛𝑡𝑎𝑠 𝑑𝑖 𝑗𝑢𝑎𝑙 𝑚𝑢𝑟𝑎ℎ.","3 minggu lalu"
"1780167137-3","https://www.lazada.co.id/products/hp-i-p-17-pro-max-hdc-android11-garansi-bisa-behasa-indonesia-69inch-i18830690673-s116259873785.html?from_gmc=1&fl_tag=1&exlaz=d_1:mm_150050280_51200736_2010300754::12:23435221350!190039233503!!!pla-2296299443698!c!2296299443698!116259873785!5523529474!791636121015&gad_source=1&gad_campaignid=23435221350&gbraid=0AAAAADsexI2Bglb7ckxxtLgC3wQx9EnSH&gclid=Cj0KCQjwlerQBhDMARIsAB16H-UXLAYOCNtn446R12OMswDH-dR8N-lVoCBKlrGBaDG-acXGku0aaIsaAhcBEALw_wcB","buat gaya lumayan cuman lemot ada yang gak lemot gak bang","2 minggu lalu"
