web_scraper_order,web_scraper_start_url,pagination,review,timestamp
"1780167045-17","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","BARANG RUSAK KOK DIJUAL!
Beli pertama warna oren, oke 
Segelan semua masih baru
Lalu saya beli kedua warna silver, barang datang ngga ada segel, screen protector sudah terpasang, curiga sudah bekas rusak orang retur sebelomnya, beneran, ga bisa nyala, ga bisa di charge
Ajukan pengembalian entah kenapa hari k3 sudah ga ada pilihannya
Seller dikontak tidak mau urus, tidak tanggung jawab, jelas barang ini rusak
Jahat yah, semoga kaya raya kamu kerja model seperti ini.
Ini sudah pasti barang returan dari orang lain yang rusak dikirim ke saya","2026-01-07 11:03 | Variasi: Grey"
"1780167045-18","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","BARANG RUSAK KOK DIJUAL!
Beli pertama warna oren, oke 
Segelan semua masih baru
Lalu saya beli kedua warna silver, barang datang ngga ada segel, screen protector sudah terpasang, curiga sudah bekas rusak orang retur sebelomnya, beneran, ga bisa nyala, ga bisa di charge
Ajukan pengembalian entah kenapa hari k3 sudah ga ada pilihannya
Seller dikontak tidak mau urus, tidak tanggung jawab, jelas barang ini rusak
Jahat yah, semoga kaya raya kamu kerja model seperti ini.
Ini sudah pasti barang returan dari orang lain yang rusak dikirim ke saya","2026-01-07 11:03 | Variasi: Oren"
"1780167045-19","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Hp utk anak2 sgt lucu","2026-01-12 14:40 | Variasi: Oren"
"1780167045-20","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Overall puas, lucu bgt gemess","2025-12-26 13:35 | Variasi: Oren"
"1780167045-21","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-01-14 17:44 | Variasi: Hitam"
"1780167045-22","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","thanks hpnya sudah di terima, pengiriman cepat dan anakku suka thanks kak","2025-12-27 14:19 | Variasi: Oren"
"1780167045-23","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Batre bocor","2026-05-29 19:40 | Variasi: 3.0 Oren"
"1780167045-24","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","bagussss skli..smoga awet","2026-01-14 01:54 | Variasi: Oren"
"1780167045-25","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","lucuuu","2025-11-02 19:58 | Variasi: Silver"
"1780167045-26","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-10-31 15:21 | Variasi: Hitam"
"1780167045-27","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-09-30 11:51 | Variasi: Silver"
"1780167045-28","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-11-10 22:43 | Variasi: Silver"
"1780167045-29","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-11-05 15:37 | Variasi: Gold"
"1780167045-30","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-11-26 11:41 | Variasi: Grey"
"1780167045-31","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-05-14 13:56 | Variasi: 3.0 Oren"
"1780167045-32","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-05-24 19:30 | Variasi: 3.0 Oren"
"1780167045-33","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-11-20 12:23 | Variasi: Hitam"
"1780167045-34","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-11-29 21:38 | Variasi: Silver, Gold"
"1780167045-35","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-05-10 16:48 | Variasi: 3.0 Oren"
"1780167045-36","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-01-13 19:51 | Variasi: Oren"
"1780167045-37","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-11-04 19:47 | Variasi: Hitam"
